legal_entity_name,legal_entity_edrpou,division_name,division_residence_addresses,division_decl_sum,nszu_geocoding_google_api_lat,nszu_geocoding_google_api_lng
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ЯВОРІВСЬКОЇ РАЙОННОЇ РАДИ ЛЬВІВСЬКОЇ ОБЛАСТІ ""ЯВОРІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ""",22398210,амбулаторія загальної практики сімейної медицини села Любині Яворівського району,"ЛЬВІВСЬКА область, ЯВОРІВСЬКИЙ район, село ЛЮБИНІ, вулиця Центральна, 1",1283.0,49.9198938,23.212656
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ МУКАЧІВСЬКОГО РАЙОНУ"" МУКАЧІВСЬКОЇ РАЙОННОЇ РАДИ",38236420,Баркасівська амбулаторія загальної практики-сімейної медицини,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село БАРКАСОВО, вулиця Мункачі Мигаля, 5",3341.0,48.3674565,22.4913141
КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КУП’ЯНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ КУП’ЯНСЬКОЇ МІСЬКОЇ РАДИ ХАРКІВСЬКОЇ ОБЛАСТІ,40414351,Амбулаторія загальної практики сімейної медицини с.Кислівка,"ХАРКІВСЬКА область, КУП'ЯНСЬКИЙ район, село КИСЛІВКА, вулиця без вулиці, 1",199.0,49.64295070000001,37.8990759
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БОМЕД""",41521487,Відділення педіатрії МЦ БоМед,"ХМЕЛЬНИЦЬКА область, місто ХМЕЛЬНИЦЬКИЙ, вулиця Зарічанська, 11Е",174.0,49.4347737,26.990003499999997
Комунальне некомерційне підприємство 'Центр первинної медико-санітарної допомоги Дергачівської районної ради',38813974,Амбулаторія загальної практики-сімейної медицини село Замірці,"ХАРКІВСЬКА область, ДЕРГАЧІВСЬКИЙ район, місто ДЕРГАЧІ, вулиця 23 Серпня, 12",1444.0,50.1097212,36.1155026
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ПОГРЕБИЩЕНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПОГРЕБИЩЕНСЬКОЇ РАЙОННОЇ РАДИ",37179654,Плисківська АЗПСМ,"ВІННИЦЬКА область, ПОГРЕБИЩЕНСЬКИЙ район, село ПЛИСКІВ, вулиця Пирогова, 2",1180.0,49.3648569,29.2761104
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЧЕЧЕЛЬНИЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЧЕЧЕЛЬНИЦЬКОЇ РАЙОННОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ",37647637,АЗПСМ с. Демівка,"ВІННИЦЬКА область, ЧЕЧЕЛЬНИЦЬКИЙ район, село ДЕМІВКА, вулиця Героїв Майдану, 27",1053.0,48.1469487,29.577154600000004
ОЛЕЩЕНКО ВІТА ІВАНІВНА,----------,ФОП ОЛЕЩЕНКО ВІТА ІВАНІВНА,"М.КИЇВ, місто КИЇВ, вулиця Тургенєвська, 29",376.0,50.4507722,30.4919288
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВОЛНОВАСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ВОЛНОВАСЬКОЇ РАЙОННОЇ РАДИ""",37980245,Лікарська амбулаторія с. Микільське №6,"ДОНЕЦЬКА область, ВОЛНОВАСЬКИЙ район, село МИКІЛЬСЬКЕ, вулиця Центральна, 83",1880.0,47.7506982,37.306962899999995
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ПОКРОВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",37339271,Гришинська амбулаторія загальної практики  - сімейної медицини,"ДОНЕЦЬКА область, ПОКРОВСЬКИЙ район, село ГРИШИНЕ, вулиця Гагаріна, 16",1880.0,48.3177121,37.0903532
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МАЛИНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" МАЛИНСЬКОЇ МІСЬКОЇ РАДИ",38395183,Амбулаторія загальної практики - сімейної медицини №2 м. Малин,"ЖИТОМИРСЬКА область, місто МАЛИН, вулиця Суворова, 83 Б",6419.0,50.7758802,29.2189099
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ЧУКВ'ЯНСЬКОЇ СІЛЬСЬКОЇ РАДИ ""АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ-СІМЕЙНОЇ МЕДИЦИНИ С. ЧУКВА САМБІРСЬКОГО РАЙОНУ ЛЬВІВСЬКОЇ ОБЛАСТІ""",40607091,Комунальний некомерційний заклад Амбулаторія загальної практики - сімейної медицини села Чуква,"ЛЬВІВСЬКА область, САМБІРСЬКИЙ район, село ЧУКВА, вулиця Самбірська, 172",1960.0,49.4617297,23.1743205
КОМУНАЛЬНЕ ПІДПРИЄМСТВО 'КРЕМЕНЧУЦЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ',38313933,Великокохнівська АЗПСМ,"ПОЛТАВСЬКА область, місто КРЕМЕНЧУК, проспект Полтавський, 40",9719.0,49.1054415,33.4488891
"Комунальне некомерційне підприємство ""3-я міська поліклініка м. Львова""",20851349,Поліклініка,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Повітряна, 99",15969.0,49.8449989,23.967828
"Комунальне некомерційне підприємство ""5-а міська клінічна лікарня м. Львова""",01996668,Відділення загальної практики-сімейної медицини №3 і №4,"ЛЬВІВСЬКА область, місто ЛЬВІВ, вулиця Генерала Чупринки, 61",18815.0,49.8292547,24.007074399999997
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ"" ВОЛОЧИСЬКОЇ МІСЬКОЇ РАДИ",42130081,Волочиська АЗПСМ,"ХМЕЛЬНИЦЬКА область, місто ВОЛОЧИСЬК, вулиця Незалежності, 64",23425.0,49.5363943,26.2156186
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4"" КРИВОРІЗЬКОЇ МІСЬКОЇ РАДИ",37862114,"Амбулаторія ЗПСМ №7 м. Кривий Ріг (КНП ""ЦПМСД №4"" КМР)","ДНІПРОПЕТРОВСЬКА область, місто КРИВИЙ РІГ, вулиця В’ячеслава Чорновола, 15",3942.0,47.948282899999995,33.4597282
"Комунальне некомерційне підприємство ""ДИТЯЧА МІСЬКА ПОЛІКЛІНІКА №1"" Одеської міської ради",02774668,"Комунальне некомерційне підприємство ""Дитяча міська поліклініка №1"" Амбулаторія","ОДЕСЬКА область, місто ОДЕСА, вулиця Отамана Чепиги, 54",3772.0,46.505006,30.720938300000004
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ І КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНОЇ ДОПОМОГИ ІВАНО-ФРАНКІВСЬКОЇ МІСЬКОЇ РАДИ""",42352786,Структурний підрозділ 'Міська дитяча поліклініка' Педіатричне відділення №2,"ІВАНО-ФРАНКІВСЬКА область, місто ІВАНО-ФРАНКІВСЬК, вулиця Тичини, 4",3698.0,48.925793799999994,24.7070935
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДНІПРОВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №8"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ",37899778,Амбулаторія загальної практики сімейної медицини № 3,"ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, вулиця Янтарна, 42",1023.0,48.513777000000005,35.0485938
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВЕРХНЬОДНІПРОВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ВЕРХНЬОДНІПРОВСЬКОЇ РАЙОННОЇ РАДИ""",37677106,"Амбулаторія ЗПСМ с. Водяне (КНП ""Верхньодніпровський ЦПМСД"" ВРР)","ДНІПРОПЕТРОВСЬКА область, ВЕРХНЬОДНІПРОВСЬКИЙ район, село ВОДЯНЕ, вулиця 78-ої Гвардійської дивізії, 2",966.0,48.57777279999999,34.1216868
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ"" НОВОТРОЇЦЬКОЇ РАЙОННОЇ РАДИ ХЕРСОНСЬКОЇ ОБЛАСТІ",38248917,Чкалівська  амбулаторія ЗПСМ,"ХЕРСОНСЬКА область, НОВОТРОЇЦЬКИЙ район, село ЧКАЛОВЕ, вулиця Таврійська, 20",2674.0,46.4819816,34.1832417
Фізична особа -  підприємець Семененко Антоніна  Павлівна,----------,Кабінет педіатра,"ХЕРСОНСЬКА область, місто ГОЛА ПРИСТАНЬ, провулок Енгельса, 4",273.0,46.5306756,32.5235921
КОМУНАЛЬНЕ ПІДПРИЄМСТВО 'ЦЕНТР ПЕРВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ ВОВЧАНСЬКОГО РАЙОНУ' ВОВЧАНСЬКОЇ РАЙОННОЇ РАДИ ХАРКІВСЬКОЇ ОБЛАСТІ,38565550,Амбулаторія загальної практики-сімейної медицини смт Вільча,"ХАРКІВСЬКА область, ВОВЧАНСЬКИЙ район, смт. ВІЛЬЧА, вулиця Харківська, 49-А",1786.0,50.2425084,36.9412065
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ ЗОЛОЧІВСЬКОЇ СЕЛИЩНОЇ РАДИ""",38552866,АЗПСМ с.Писарівка,"ХАРКІВСЬКА область, ЗОЛОЧІВСЬКИЙ район, село ПИСАРІВКА, вулиця ЦЕНТРАЛЬНА, 3",991.0,50.2494412,35.7571266
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НОВОМИКОЛАЇВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" НОВОМИКОЛАЇВСЬКОЇ РАЙОННОЇ РАДИ ЗАПОРІЗЬКОЇ ОБЛАСТІ",01992899,Поліклінічне відділення,"ЗАПОРІЗЬКА область, НОВОМИКОЛАЇВСЬКИЙ район, смт. НОВОМИКОЛАЇВКА, вулиця Соборності, 106",1046.0,47.9776774,35.899985
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТЯЧІВСЬКОЇ РАЙОННОЇ РАДИ ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",42043319,Усть-Чорнянська амбулаторія загальної практики – сімейної медицини Комунального некомерційного підприємства Тячівської районної ради «Центр первинної медико-санітарної допомоги»,"ЗАКАРПАТСЬКА область, ТЯЧІВСЬКИЙ район, смт. УСТЬ-ЧОРНА, вулиця Верховинська, 133",3639.0,48.5607892,22.974114
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІЛЬНЯНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ВІЛЬНЯНСЬКОЇ РАЙОННОЇ РАДИ",38809093,Амбулаторія загальної практики – сімейної медицини м. Вільнянськ № 1,"ЗАПОРІЗЬКА область, ВІЛЬНЯНСЬКИЙ район, місто ВІЛЬНЯНСЬК, прохід Гнаровської, 6",3591.0,47.9449205,35.4324237
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ДЕЛЯТИНСЬКИЙ НЕКОМЕРЦІЙНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ДЕЛЯТИНСЬКОЇ СЕЛИЩНОЇ РАДИ ОБ'ЄДНАНОЇ ТЕРИТОРІАЛЬНОЇ ГРОМАДИ",42096899,Центр первинної медико-санітарної допомоги,"ІВАНО-ФРАНКІВСЬКА область, НАДВІРНЯНСЬКИЙ район, смт. ДЕЛЯТИН, вулиця Січових Стрільців, 3",10114.0,48.528620399999994,24.627327100000002
Комунальне некомерційне підприємство 'Збаразький центр первинної медико-санітарної допомоги' Збаразької районної ради,39511438,Амбулаторія загальної практики - сімейної медицини с.Шимківці,"ТЕРНОПІЛЬСЬКА область, ЗБАРАЗЬКИЙ район, село ШИМКІВЦІ, вулиця Над Ставом, 1",622.0,49.7587261,25.800113699999997
"Комунальне некомерційне підприємство ""Доманівський районний центр первинної медико-санітарної допомоги"" Доманівської районної ради",38357572,Богданівська амбулаторія загальної практики сімейної медицини,"МИКОЛАЇВСЬКА область, ДОМАНІВСЬКИЙ район, село БОГДАНІВКА, вулиця Острозького, 36",229.0,47.8170528,31.130503899999997
БАЧУРІН ПАВЛО ГЕОРГІЙОВИЧ,----------,INTEGRO,"ЧЕРКАСЬКА область, місто ЧЕРКАСИ, бульвар Шевченка, 325",156.0,49.42969,32.0859497
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ КИЄВО-СВЯТОШИНСЬКОЇ РАЙОННОЇ РАДИ""",38943382,Дмитрівська АЗПСМ,"КИЇВСЬКА область, КИЄВО-СВЯТОШИНСЬКИЙ район, село ДМИТРІВКА, вулиця Садова, 12",4394.0,50.458490999999995,30.169909999999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДУНАЄВЕЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ДУНАЄВЕЦЬКОЇ МІСЬКОЇ РАДИ",38481743,Амбулаторія загальної практики сімейної медицини №1,"ХМЕЛЬНИЦЬКА область, ДУНАЄВЕЦЬКИЙ район, місто ДУНАЇВЦІ, вулиця Горького, 7/7",13850.0,48.8849162,26.862097499999997
Комунальне некомерційне підприємство 'Володимирецький районний центр первинної медико-санітарної допомоги' Володимирецької районної ради,38853852,Каноницька амбулаторія загальної практики-сімейної медицини,"РІВНЕНСЬКА область, ВОЛОДИМИРЕЦЬКИЙ район, село ДУБІВКА, вулиця Поліська, 6",1512.0,51.4208214,26.233525800000002
ФІЗИЧНА ОСОБА-ПІДПРИЄМЕЦЬ Труш Ірина Вікторівна,----------,ФОП Труш Ірина Вікторівна,"ОДЕСЬКА область, місто ОДЕСА, вулиця Ільфа та Петрова, 8а",1377.0,46.401612799999995,30.713978700000002
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ОКНЯНСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ"" ОКНЯНСЬКОЇ РАЙОННОЇ РАДИ ОДЕСЬКОЇ ОБЛАСТІ",38215504,Маяк  АЗПСМ Окнянського району смт Окни,"ОДЕСЬКА область, ОКНЯНСЬКИЙ район, село МАЯКИ, вулиця Миру, 1",1143.0,47.4404751,29.5610154
Комунальне некомерційне підприємство'Виноградівський центр первинної медико-санітарної допомоги'Виноградівської районної ради Закарпатської області,41769166,Амбулаторія  с.Нове Село,"ЗАКАРПАТСЬКА область, ВИНОГРАДІВСЬКИЙ район, село НОВЕ СЕЛО, вулиця Центральна , 157",2314.0,48.1199266,22.8883977
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НОВОМОСКОВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",37734221,Амбулаторія ЗПСМ № 4,"ДНІПРОПЕТРОВСЬКА область, місто НОВОМОСКОВСЬК, вулиця Українська, 12",6256.0,48.632208,35.254569000000004
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖИДАЧІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖИДАЧІВСЬКОЇ РАЙОННОЇ РАДИ ЛЬВІВСЬКОЇ ОБЛАСТІ",01996208,ФАП с.Вільхівці,"ЛЬВІВСЬКА область, ЖИДАЧІВСЬКИЙ район, село ВІЛЬХІВЦІ, вулиця Стрийська, 21",1.0,49.3870678,24.1299359
Фізична особа-підприємець Гардубей Ірина Іванівна,----------,ФОП ГардубейІ.І.,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село ЗАЛУЖЖЯ, вулиця Духновича, 17",756.0,48.3917879,22.825979
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ТЯЧІВСЬКОЇ РАЙОННОЇ РАДИ ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",42043319,Углянська амбулаторія загальної практики – сімейної медицини Комунального некомерційного підприємства Тячівської районної ради «Центр первинної медико-санітарної допомоги»,"ЗАКАРПАТСЬКА область, ТЯЧІВСЬКИЙ район, село УГЛЯ, вулиця Центральна, 14",5278.0,48.150966100000005,23.626745899999996
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ТЕОФІПОЛЬСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ТЕОФІПОЛЬСЬКОЇ РАЙОННОЇ РАДИ ХМЕЛЬНИЦЬКОЇ ОБЛАСТІ",38611140,Шибенська амбулаторія загальної практики сімейної медицини,"ХМЕЛЬНИЦЬКА область, ТЕОФІПОЛЬСЬКИЙ район, село ШИБЕНА, вулиця миру, 8",37.0,49.7502218,26.284311900000002
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЮР'ЇВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЮР'ЇВСЬКОЇ СЕЛИЩНОЇ РАДИ ЮР'ЇВСЬКОГО РАЙОНУ ДНІПРОПЕТРОВСЬКОЇ ОБЛАСТІ",36877528,Новов’язівська АЗПСМ (КЗ \,"ДНІПРОПЕТРОВСЬКА область, ЮР'ЇВСЬКИЙ район, село НОВОВ'ЯЗІВСЬКЕ, вулиця Шевченко, 19",1822.0,48.7628723,35.8209937
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО БОРИСПІЛЬСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ ""БОРИСПІЛЬСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""",38462558,Щасливська амбулаторія ЗПСМ,"КИЇВСЬКА область, БОРИСПІЛЬСЬКИЙ район, село ЩАСЛИВЕ, вулиця Лермонтова, 9",3637.0,50.3800937,30.7912257
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЧОРТКІВСЬКОЇ РАЙОННОЇ РАДИ",38427288,АЗПСМ с. Кривеньке,"ТЕРНОПІЛЬСЬКА область, ЧОРТКІВСЬКИЙ район, село КРИВЕНЬКЕ, вулиця Центральна, 16",565.0,49.0066091,26.1062353
"Комунальне некомерційне підприємство ""Дніпровський центр первинної медико-санітарної допомоги № 5"" Дніпровської міської ради",37899694,Амбулаторія №6,"ДНІПРОПЕТРОВСЬКА область, місто ДНІПРО, вулиця Квітки Основ'яненка, 14",9000.0,48.488254100000006,34.9638986
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЧУДНІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЧУДНІВСЬКОЇ РАЙОННОЇ РАДИ",38500540,Велико Коровинецька амбулаторія загальної практики сімейної медицини,"ЖИТОМИРСЬКА область, ЧУДНІВСЬКИЙ район, смт. ВЕЛИКІ КОРОВИНЦІ, вулиця Терещенка, 20",2382.0,49.976131200000005,28.292406099999997
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЗАСТАВНІВСЬКИЙ РАЙОННИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЗАСТАВНІВСЬКОЇ РАЙОННОЇ РАДИ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ",36752522,Амбулаторія ЗПСМ с.Баламутівка,"ЧЕРНІВЕЦЬКА область, ЗАСТАВНІВСЬКИЙ район, село БАЛАМУТІВКА, вулиця Шкільна, 3А",1259.0,48.533193,26.0605389
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ПОЛОГІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПОЛОГІВСЬКОЇ РАЙОННОЇ РАДИ ЗАПОРІЗЬКОЇ ОБЛАСТІ",38742343,Тарасівська амбулаторія загальної практики - сімейної медицини,"ЗАПОРІЗЬКА область, ПОЛОГІВСЬКИЙ район, село ТАРАСІВКА, вулиця Центральна , 11",1996.0,47.41879470000001,36.0800866
"Комунальне некомерційне підприємство ""Рахівський центр первинної медико-санітарної допомоги"" Рахівської районної ради Закарпатської області",38182296,Амбулаторія с.Кваси,"ЗАКАРПАТСЬКА область, РАХІВСЬКИЙ район, село КВАСИ, вулиця Кваси, 181",1546.0,48.1561047,24.279560999999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО КАМ'ЯНСЬКОЇ МІСЬКОЇ РАДИ ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №3""",37906491,Амбулаторія загальної практики-сімейної медицини № 3,"ДНІПРОПЕТРОВСЬКА область, місто КАМ'ЯНСЬКЕ, проспект Гімназичний, 65",4081.0,48.5222357,34.6033435
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ НОВОГРАД-ВОЛИНСЬКОГО РАЙОНУ"" НОВОГРАД-ВОЛИНСЬКОЇ РАЙОННОЇ РАДИ ЖИТОМИРСЬКОЇ ОБЛАСТІ",38006758,Чижівська АЗПСМ,"ЖИТОМИРСЬКА область, НОВОГРАД-ВОЛИНСЬКИЙ район, село ЧИЖІВКА, вулиця Соборності, 6",2157.0,50.5902245,27.625944699999998
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 1"" КРАМАТОРСЬКОЇ МІСЬКОЇ РАДИ",37944301,Амбулаторія 6,"ДОНЕЦЬКА область, місто КРАМАТОРСЬК, вулиця Спартака, 4",1144.0,48.738966999999995,37.58435
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ""ПРОМІНЬ ЗДОРОВ'Я""  НОВОСЕЛИЦЬКОЇ РАЙОННОЇ РАДИ",38407889,Амбулаторія загальної практики сімейної медицини с. Рингач,"ЧЕРНІВЕЦЬКА область, НОВОСЕЛИЦЬКИЙ район, село РИНГАЧ, вулиця Садова, 1",279.0,48.309929100000005,26.2410685
Комунальне некомерційне підприємство 'Заліщицький районний центр первинної медико-санітарної допомоги' Заліщицької районної Ради,38044086,Товстенська АЗПСМ,"ТЕРНОПІЛЬСЬКА область, ЗАЛІЩИЦЬКИЙ район, смт. ТОВСТЕ, вулиця Робітнича, 1",8268.0,48.8484511,25.7268616
КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ДВОРІЧАНСЬКОГО РАЙОНУ,38412685,АЗПСМ с.Вільшана,"ХАРКІВСЬКА область, ДВОРІЧАНСЬКИЙ район, село ВІЛЬШАНА, вулиця Миру, 87",2131.0,49.783367999999996,37.797033899999995
"Комунальне некомерційне підприємство ""Новострілищанська амбулаторія загальної практики-сімейної медицини"" Новострілищанської селищної ради Львівської області",34815103,"Комунальне некомерційне підприємство ""Новострілищанська амбулаторія загальної практики-сімейної медицини"" Новострілищанської селищної  ради Львівської області","ЛЬВІВСЬКА область, ЖИДАЧІВСЬКИЙ район, смт. НОВІ СТРІЛИЩА, вулиця Шевченка, 14",1825.0,49.516856700000005,24.4058087
Комунальне некомерційне підприємство 'Ріпкинський районний центр первинної медико-санітарної допомоги' Ріпкинської районної ради Чернігівської області,38720288,Любецька  амбулаторія загальної практики - сімейної медицини,"ЧЕРНІГІВСЬКА область, РІПКИНСЬКИЙ район, смт. ЛЮБЕЧ, вулиця Добринінська , 60",3371.0,51.700259,30.662543300000003
"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ПЕРВОМАЙСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПЕРВОМАЙСЬКОЇ МІСЬКОЇ РАДИ",38505313,"Амбулаторія загальної практики - сімейної медицини ""Гвардійська""","МИКОЛАЇВСЬКА область, місто ПЕРВОМАЙСЬК, вулиця Гвардійська, 3",4841.0,48.026978899999996,30.8595651
"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""РОГАТИНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" РОГАТИНСЬКОЇ РАЙОННОЇ РАДИ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",41838805,Амбулаторія загальної практики-сімейної медицини с.Бабухів,"ІВАНО-ФРАНКІВСЬКА область, РОГАТИНСЬКИЙ район, село БАБУХІВ, вулиця Котляревського, 5",2058.0,49.3601935,24.6096812
